objectid,parentid,filename,title,creator,date,description,subject,type,format,,language
demo_001,,7-19-1.jpg,"Administration Building, University of Idaho, No. 30",Pacific Photo Co.,1910,,,,multiple,,eng
demo_002,7-19-1.jpg,7-19-2.jpg,"Spokane County Court House, Spokane, Washington",Spokane Post Card Co.,1912-09-08,,,,multiple,,eng
demo_003,7-19-1.jpg,7-19-3.jpg,Good News – Power (Radio Episode Excerpt),"Robinson, Frank B.",1947,,,,multiple,,eng
demo_004,,,"University of Idaho vs. University of Southern California (Football), 10/30/1925",Vandal Athletics,1925-10-30,,,,video/mp4,,eng
demo_005,,,Interview with K. Silem Mohammad,"Becker, Devin",2014-06-16,,,,video/mp4,,eng
demo_006,,https://www.lib.uidaho.edu/collectionbuilder/demo-objects/demo_006.jpg,Ford pumper used for slash burning control,"Thompson, J. B.",1932-09-01,,,,image/jpeg,,eng
demo_007,,https://www.doi.org/10.1577/M02-113,Influence of Fishway Placement on Fallback of Adult Salmon at the Bonneville Dam on the Columbia River,"Reischel, T.S.; Bjornn, T.C.",2003,,,,record,,eng
demo_008,,,Hell's Half Acre,Keeping Watch,,,,,compound_object,,eng
demo_009,demo_008,hells_half_theta.jpg,Hell's Half Acre Lookout Image,Keeping Watch,2021-07-13,,,,image/jpeg,,eng
demo_010,demo_008,https://cdil.lib.uidaho.edu/keeping-watch/objects/videos/patrick_records_weather.mp4,Patrick McMarron Records Fire Conditions at Hell's Half Acre Lookout,Keeping Watch,2021-07-13,,,,video/mp4,,eng
demo_011,demo_008,https://cdil.lib.uidaho.edu/keeping-watch/objects/hell-s-half-acre/outside_shot_hells_half.JPG,Outside shot of Hells Half Acre Lookout,Keeping Watch,2021-07-13,,,,image/jpeg,,eng
demo_012,demo_008,https://cdil.lib.uidaho.edu/keeping-watch/objects/videos/patrick_the_human_being.mp4,Patrick McMarron Discusses the Importance of Human Beings on the Lookout,Keeping Watch,2021-07-13,,,,video/mp4,,eng
demo_013,,,Peeled Tree,,,,,,multiple,,eng
demo_014,demo_013,https://webpages.uidaho.edu/Library/twrs/objects/DSC_0136.jpg,Peeled Tree View 1,,,,,,image/jpeg,,
demo_015,demo_013,https://webpages.uidaho.edu/Library/twrs/objects/DSC_0137.JPG,Peeled Tree View 2,,,,,,image/jpeg,,
demo_016,demo_013,https://webpages.uidaho.edu/Library/twrs/objects/DSC_0138.JPG,Peeled Tree View 3,,,,,,image/jpeg,,
demo_017,,,"Spokane's Great Restaurant, Washington","Mitchell, Edward H.",1909,,,,multiple,,eng
demo_018,demo_017,210a.jpg,postcard front,,,,,,image/jpeg,,
demo_019,demo_017,210b.jpg,postcard back,,,,,,image/jpeg,,
demo_020,,,"Jennie Eva Hughes, the First Black Graduate of the University of Idaho",,1899,,,,compound_object,,eng
demo_021,demo_020,https://www.lib.uidaho.edu/blackhistory/objects/mg5758_001.jpg,Portrait of Jennie Eva Hughes [1],,1899,,,,image/jpeg,,eng
demo_022,demo_020,https://www.lib.uidaho.edu/blackhistory/objects/mg5758_002.jpg,Portrait of Jennie Eva Hughes [2],,1899,,,,image/jpeg,,eng
demo_023,demo_020,https://www.lib.uidaho.edu/blackhistory/objects/mg5758_003.pdf,"""The Uncrowned King"" by Jennie Eva Hughes","Hughes, Jennie Eva",1898-04-15,,,,application/pdf,,eng
demo_024,demo_020,https://www.lib.uidaho.edu/blackhistory/objects/mg5758_004.pdf,Spokesman article about Jennie Eva Hughes' oration win,The Spokesman-Review,1898,,,,application/pdf,,eng
demo_025,demo_020,https://www.lib.uidaho.edu/blackhistory/objects/pg2_110_1.jpg,University of Idaho class of 1899,,1898,,,,image/jpeg,,eng
demo_026,demo_020,https://www.lib.uidaho.edu/blackhistory/objects/ma2000_29_001.pdf,Jennie Eva Hughes' 1898 registration card at University of Idaho,,1898-09-23,,,,application/pdf,,eng
demo_027,demo_020,https://www.lib.uidaho.edu/blackhistory/objects/ma2000_29_002.pdf,Jennie Eva Hughes' 1899 registration card at University of Idaho,,1899-02-15,,,,application/pdf,,eng
demo_028,demo_020,https://www.lib.uidaho.edu/blackhistory/objects/arg-1899-06-01_p181-innovation.pdf,Innovation of Class Day,,1899-06-01,,,,application/pdf,,eng
demo_029,demo_020,https://www.lib.uidaho.edu/blackhistory/features/hughes.html,The First Black Graduate - Jennie Eva Hughes,"Shannon, Michelle",2022,,,,record,,eng
